customer_id,location,device_type,purchase_history,time_on_site,competitor_price,recommended_price,ethnicity,gender
CUST0075,suburban,mobile,7,45.04,431.71,448.87,Asian,Male
CUST0076,suburban,desktop,10,53.72,964.01,928.87,Asian,Female
CUST0077,rural,desktop,35,45.65,838.42,839.69,White,Female
CUST0078,urban,desktop,9,20.59,868.55,895.51,Black,Male
CUST0079,urban,mobile,20,44.92,254.97,296.92,Hispanic,Female
CUST0080,urban,desktop,19,9.97,343.87,370.35,Asian,Male
CUST0081,rural,mobile,47,8.69,357.06,425.59,White,Male
CUST0082,suburban,desktop,7,21.39,343.82,361.07,White,Female
CUST0083,urban,mobile,35,48.65,869.87,901.8,White,Male
CUST0084,urban,mobile,28,15.53,128.7,165.48,White,Female
CUST0085,urban,mobile,41,4.73,168.49,225.44,Hispanic,Female
CUST0086,urban,desktop,11,8.77,346.52,362.99,White,Non-binary
CUST0087,suburban,mobile,13,51.67,279.89,289.33,White,Female
CUST0088,suburban,desktop,47,38.39,308.67,376.28,White,Male
CUST0089,rural,mobile,49,15.94,818.15,820.65,Black,Female
CUST0090,suburban,desk,20,33.76,606.81,581.08,Black,Male
CUST0091,urban,desktop,21,32.13,105.19,130.6,White,Male
CUST0092,suburban,desktop,20,39.67,486.39,563.14,White,Male
CUST0093,rural,mobile,43,14.76,467.1,517.93,White,Male
CUST0094,suburban,mobile,49,52,202.55,276.59,Black,Female
CUST0095,rural,mobile,29,19.25,708.53,821.03,White,Male
CUST0096,suburban,desktop,38,41.95,731.89,769.46,Hispanic,Female
CUST0097,suburban,mobile,19,1.95,748.8,742.1,White,Male
CUST0098,suburban,mobile,23,22.99,755.62,764.48,White,Female
CUST0099,urban,mobile,22,21.75,100.05,131.53,Asian,Non-binary
CUST0100,urban,mobile,6,33.07,958.53,971.81,White,Male
CUST0101,urban,desktop,8,5.29,832.79,843.48,Asian,Female
CUST0102,suburban,mobile,0,47.62,913.58,953.33,White,Male
CUST0103,urban,desktop,25,13.85,114.08,159.35,Black,Male
CUST0104,suburban,mobile,37,40.95,940.47,1042.07,Asian,Female
CUST0105,rural,mobile,37,48.39,828.81,808.55,Hispanic,Female
CUST0106,urban,mobile,43,34.15,853.5,967.34,White,Male
CUST0107,suburban,mobile,21,44.71,183.96,231.34,White,Male
CUST0108,rural,mobile,43,40.05,764.9,825.86,White,Male
CUST0109,urban,desktop,9,21.98,963.93,969.27,Hispanic,Female
CUST0110,urban,mobile,5,48.72,710.69,740.99,Hispanic,Female
CUST0111,urban,desktop,16,18.39,613.51,574.04,White,Female
CUST0112,urban,mobile,49,34.7,951.07,1044.07,White,Female
CUST0113,rural,mobile,37,44.98,498.64,491.52,White,Female
CUST0114,rural,desktop,23,23.36,639.36,635.8,White,Female
CUST0115,suburban,mobile,9,18.86,528.7,541.91,White,Female
CUST0116,rural,mobile,7,28.1,939.56,992.55,White,Female
CUST0117,rural,mobile,20,49.26,168.48,187.07,Black,Female
CUST0118,urban,mobile,5,55.87,551.01,607.03,Hispanic,Female
CUST0119,rural,desktop,20,33.16,718.26,825.86,Other,Female
CUST0120,suburban,mobile,38,40.03,812.72,872.99,White,Non-binary
CUST0121,rural,desktop,23,54.29,624.72,666.66,Black,Male
CUST0122,rural,desktop,32,6.81,918.03,980.05,Hispanic,Male
CUST0123,urban,mobile,17,14.69,947.79,942.77,White,Non-binary
CUST0124,urban,desktop,27,42.83,157.89,197.21,Asian,Male
CUST0125,urban,mobile,31,49.6,462.13,527.7,White,Female
CUST0126,suburban,desktop,11,51.56,121.11,146.02,White,Male
CUST0127,rural,mobile,47,25.49,396.47,462.97,White,Male
CUST0128,rural,desktop,41,6.27,583.18,629.58,White,Male
CUST0129,urban,mobile,26,26.83,919.72,897.47,Asian,Male
CUST0130,suburban,mobile,9,14.61,861.9,839.97,White,Male
CUST0131,suburban,desktop,45,18.18,214.75,245.45,White,Female
CUST0132,urban,desktop,41,46.56,183.73,210.08,White,Female
CUST0133,urban,mobile,31,5.46,630.34,676.11,Hispanic,Non-binary
CUST0134,urban,mobile,41,49.83,578.91,659.69,White,Male
CUST0135,rural,desktop,25,26.23,339.74,406.15,Black,Female
CUST0136,urban,desktop,24,36.17,909.51,975.01,Black,Female
CUST0137,suburban,desktop,10,6.29,934.63,1000.87,White,Female
CUST0138,suburban,desktop,22,20.9,462.35,446.69,White,Female
CUST0139,urban,desktop,33,6.29,901.27,860.73,Asian,Male
CUST0140,rural,desktop,39,57.73,445.55,501.07,White,Male
CUST0141,rural,mobile,22,48.63,763.14,803.39,White,Male
CUST0142,urban,mobile,28,28.12,528.35,565.8,Asian,Male
CUST0143,suburban,desktop,30,14.19,210.32,214.89,White,Female
CUST0144,urban,desktop,6,56.07,935.14,895.36,White,Male
CUST0145,urban,mobile,39,21.33,508.69,575.24,White,Female
CUST0146,urban,mobile,32,10.5,761.04,866.58,White,Non-binary
CUST0147,suburban,desktop,20,34.23,430.46,490.82,Asian,Non-binary
CUST0148,suburban,mobile,1,56.68,116.99,118.29,Black,Non-binary
CUST0149,urban,mobile,17,1.23,190.48,204.26,Black,Male
CUST0150,urban,mobile,46,15.05,546.6,669.12,Asian,Female
CUST0151,rural,mobile,32,56.37,720.97,786.97,White,Male
CUST0152,urban,mobile,36,11.09,401.26,457.52,White,Female
CUST0153,urban,mobile,33,7.68,725.94,802.13,White,Female
CUST0154,suburban,mobile,19,34.64,728.77,795.84,White,Female
CUST0155,rural,desktop,34,51.85,733.54,842.64,Other,Male
CUST0156,urban,mobile,49,29.15,543.27,610.26,Hispanic,Female
CUST0157,suburban,desktop,17,59.68,923.4,961.8,White,Male
CUST0158,rural,desktop,45,41.07,540.28,657.67,White,Male
CUST0159,urban,mobile,23,5.37,505.24,479.65,White,Female
CUST0160,suburban,desktop,7,59.58,279.44,309.42,White,Male
CUST0161,urban,mobile,29,25.07,376.89,394.14,White,Non-binary
CUST0162,suburban,desktop,43,17.96,138.1,219.77,Black,Male
CUST0163,suburban,mobile,9,33.91,670.18,695.19,Hispanic,Female
CUST0164,suburban,desktop,22,18.95,323.68,325.37,Asian,Female
CUST0165,urban,desktop,48,6.1,373.74,429.1,White,Female
CUST0166,rural,mobile,10,1.08,793.73,829.81,White,Female
CUST0167,urban,mobile,1,27.53,394.5,406.1,Black,Non-binary
CUST0168,urban,desktop,25,50.37,317.98,358.01,Hispanic,Male
CUST0169,urban,desktop,35,34.77,252.15,291.78,Hispanic,Non-binary
CUST0170,suburban,mobile,32,59.95,797.37,823.68,Hispanic,Male
CUST0171,suburban,desktop,46,17.92,216.74,248.63,Black,Male
CUST0172,urban,mobile,12,17.55,508.38,477.13,Asian,Male
CUST0173,suburban,desktop,39,10.43,556.24,681.02,White,Female
CUST0174,urban,mobile,24,10.68,718.65,690.48,Black,Female
CUST0175,suburban,desktop,3,17.83,669.96,675.91,White,Female
CUST0176,urban,mobile,41,47.78,829.65,956.8,White,Female
CUST0177,suburban,mobile,18,54.44,140.28,165.11,Black,Male
CUST0178,urban,mobile,17,58.53,366.8,378.13,White,Non-binary
CUST0179,rural,mobile,36,14.71,352.12,392.45,White,Male
CUST0180,urban,mobile,29,53,231.42,286.45,White,Female
CUST0181,urban,mobile,18,20.37,360.26,394.62,White,Male
CUST0182,urban,desktop,22,7.66,378.79,433.08,White,Female
CUST0183,rural,mobile,15,52.33,569.7,644.46,White,Male
CUST0184,rural,mobile,0,38.53,697.33,718.07,White,Male
CUST0185,urban,mobile,11,10.72,442.99,472.33,White,Male
CUST0186,suburban,mobile,23,26.36,747.52,780.06,Other,Male
CUST0187,rural,mobile,33,17.95,402.55,432.01,White,Male
CUST0188,suburban,mobile,7,44.47,361.26,385.14,White,Male
CUST0189,suburban,mobile,17,27.75,587.07,657.79,Black,Female
CUST0190,urban,mobile,47,59.37,121.34,146,Hispanic,Female
CUST0191,urban,mobile,4,4.23,171.81,169.88,Asian,Female
CUST0192,rural,mobile,25,21.95,476.17,493.66,White,Female
CUST0193,rural,mobile,29,29.43,948.62,992.86,Black,Female
CUST0194,suburban,mobile,12,30.68,749.36,702.23,Asian,Female
CUST0195,urban,desktop,18,19.64,179.31,205.42,Asian,Female
CUST0196,urban,mobile,28,44.03,861.69,904.67,Asian,Male
CUST0197,suburban,desktop,2,52.61,759.07,775.81,Hispanic,Female
CUST0198,rural,mobile,25,56.38,649.85,668.34,Hispanic,Male
CUST0199,rural,desktop,39,48.5,838.26,890.6,Black,Female
CUST0200,rural,desktop,11,51.18,463.7,518.7,White,Female
CUST0201,suburban,mobile,1,33.48,299.35,328.22,Black,Male
CUST0202,urban,desktop,10,49.73,560.82,586.33,Hispanic,Female
CUST0203,urban,mobile,43,18.91,593.96,625.4,White,Male
CUST0204,rural,mobile,27,24.51,584.49,685.35,Other,Male
CUST0205,suburban,desktop,17,19.7,608.57,663.27,White,Male
CUST0206,urban,desktop,12,28.58,953.83,945.66,White,Female
CUST0207,urban,mobile,36,17.85,912.02,873.82,Hispanic,Female
CUST0208,suburban,mobile,21,57.74,888.15,850.99,White,Female
CUST0209,urban,mobile,11,19.46,821.28,781.78,White,Male
CUST0210,urban,mobile,1,6.78,949.09,863.83,White,Female
CUST0211,suburban,desktop,36,32.08,188.65,267.15,White,Female
CUST0212,suburban,mobile,6,4.37,338.61,351.23,White,Male
CUST0213,suburban,mobile,25,7.52,545.55,606.9,White,Female
CUST0214,urban,mobile,25,13.94,861.88,968.33,White,Male
CUST0215,suburban,mobile,23,28.4,554.65,607.44,Other,Male
CUST0216,urban,mobile,11,26.56,773.23,850.03,Other,Female
CUST0217,urban,desktop,15,48.18,225.06,266,White,Female
CUST0218,suburban,desktop,22,44.63,327.17,344.51,Asian,Male
CUST0219,suburban,desktop,39,26.15,758.6,855.82,White,Male
CUST0220,rural,mobile,8,20.69,248.26,274.1,White,Male
CUST0221,suburban,desktop,31,19.67,416.22,423.67,White,Male
CUST0222,suburban,desktop,14,46.67,338.38,375.01,Other,Male
CUST0223,urban,desktop,36,4.07,414.88,477.82,Hispanic,Male
CUST0224,urban,mobile,12,1.76,737.49,807.31,White,Female
CUST0225,urban,mobile,4,47.94,431.06,424.13,White,Male
CUST0226,urban,mobile,10,29.15,599.74,620.65,White,Female
CUST0227,rural,mobile,9,8.72,189.94,189.04,Black,Female
CUST0228,urban,mobile,12,14.9,824.52,802.93,Black,Male
CUST0229,rural,mobile,40,56.02,432.9,474.14,White,Male
CUST0230,suburban,mobile,45,51.71,683.68,775.35,Asian,Female
CUST0231,rural,desktop,49,42.88,752.85,898.37,White,Male
CUST0232,suburban,mobile,14,29.45,288.69,288.75,Hispanic,Male
CUST0233,suburban,mobile,41,31.7,896.21,980.9,Asian,Male
CUST0234,suburban,desktop,6,58.54,654.6,622.41,White,Female
CUST0235,urban,desktop,39,57.98,485.85,470.03,Asian,Female
CUST0236,suburban,desktop,27,13.7,264.1,287.27,Hispanic,Non-binary
CUST0237,urban,desktop,31,48.86,948.07,927.73,White,Female
CUST0238,urban,mobile,34,12.64,779.56,810.88,White,Male
CUST0239,suburban,desktop,14,13.6,287.22,278.76,Hispanic,Male
CUST0240,urban,mobile,47,40.89,403.94,401,White,Male
CUST0241,rural,mobile,35,24.9,828.71,869.53,White,Male
CUST0242,rural,mobile,20,55.96,726.11,752.03,White,Male
CUST0243,rural,mobile,5,6.25,789.21,723.81,Hispanic,Male
CUST0244,urban,mobile,0,31.18,497.08,504.37,Asian,Male
CUST0245,urban,desktop,3,55.19,744.83,800.81,Hispanic,Male
CUST0246,rural,desktop,10,54.34,447.84,483.08,Black,Male
CUST0247,suburban,mobile,43,10.24,290.14,352.87,White,Non-binary
CUST0248,rural,mobile,25,22.63,669.41,713.41,Black,Female
CUST0249,rural,desktop,36,37.53,978.41,1064.61,Asian,Non-binary
CUST0250,rural,desktop,22,10.4,379.54,374.43,White,Male
CUST0251,urban,mobile,28,58.11,514.87,585.8,White,Female
CUST0252,urban,desktop,20,54.97,706.6,799.39,White,Male
CUST0253,rural,mobile,47,10.85,587.36,697.47,Black,Male
CUST0254,urban,mobile,44,8.15,859.09,989.75,Hispanic,Male
CUST0255,urban,desktop,44,6.04,785.57,897.96,Asian,Non-binary
CUST0256,suburban,mobile,48,54.66,152.47,194.29,Other,Non-binary
CUST0257,rural,mobile,26,12.42,998.58,1072.61,White,Male
CUST0258,suburban,desktop,38,25.56,777.16,855.16,Hispanic,Male
CUST0259,suburban,desktop,39,27.48,877.51,959.65,Hispanic,Male
CUST0260,urban,mobile,12,36.34,686.08,680.64,White,Male
CUST0261,suburban,mobile,22,5.23,870.66,892.97,Other,Male
CUST0262,rural,mobile,15,14.38,201.14,225.3,White,Male
CUST0263,urban,desktop,29,55.96,412.96,391.55,Hispanic,Female
CUST0264,suburban,mobile,3,54.6,888.78,925.97,Hispanic,Male
CUST0265,rural,mobile,39,47.1,281.49,349.9,Asian,Male
CUST0266,suburban,desktop,15,2.14,170.42,203.43,Black,Male
CUST0267,suburban,mobile,30,20.29,809.31,942.24,White,Male
CUST0268,suburban,mobile,41,38.05,851.94,949.72,Black,Non-binary
CUST0269,urban,mobile,24,17.24,246.39,267.73,White,Male
CUST0270,urban,desktop,43,54.67,868.91,968.06,Asian,Female
CUST0271,rural,mobile,11,38.4,718.09,694.11,Asian,Female
CUST0272,rural,mobile,25,5.24,568.07,576.62,Hispanic,Non-binary
CUST0273,rural,desktop,36,54.63,847.23,879.4,White,Female
CUST0274,rural,mobile,47,57.51,477.32,530.22,Hispanic,Female
CUST0275,suburban,mobile,32,5.59,274.59,320.36,Hispanic,Female
CUST0276,suburban,mobile,27,32.41,356.37,374.99,Asian,Male
CUST0277,rural,mobile,8,18.9,554.65,578,White,Female
CUST0278,suburban,mobile,11,24.18,578.2,635.72,White,Non-binary
CUST0279,suburban,mobile,4,11.6,825.02,793.92,White,Female
CUST0280,rural,mobile,27,35.11,812.22,810.55,Black,Non-binary
CUST0281,rural,mobile,34,57.52,623.23,676.82,Black,Female
CUST0282,urban,desktop,4,30.68,802.71,832.29,Other,Female
CUST0283,urban,desktop,33,5.89,272.6,347.73,White,Female
CUST0284,urban,desktop,45,37.58,145.06,175.85,White,Female
CUST0285,suburban,desktop,33,21.07,886.27,1001.09,Black,Female
CUST0286,urban,mobile,12,51.5,168,187.44,Hispanic,Non-binary
CUST0287,suburban,desktop,38,26.65,322.02,379.32,Hispanic,Female
CUST0288,suburban,mobile,41,12.38,725.79,734.78,Hispanic,Female
CUST0289,urban,desktop,44,12.28,468.5,522.53,White,Female
CUST0290,suburban,desktop,47,46.36,888.68,883.92,Black,Male
CUST0291,urban,desktop,13,16.67,368.18,370.9,Hispanic,Male
CUST0292,urban,desktop,10,46.27,110.68,124.61,White,Non-binary
CUST0293,rural,mobile,41,13.15,370.59,415.03,White,Female
CUST0294,urban,mobile,37,19.98,620.27,719.05,White,Male
CUST0295,urban,mobile,3,28.46,438.34,450.27,White,Male
CUST0296,suburban,mobile,32,56.65,581.39,643.67,Asian,Female
CUST0297,rural,mobile,6,55.97,888.94,886.96,White,Female
CUST0298,urb,desktop,40,13.21,921.24,1055.03,White,Female
CUST0299,suburban,desktop,7,22.13,339.38,352.3,White,Female
CUST0300,urban,mobile,36,9.81,515.93,530.99,Black,Male
CUST0301,urban,desktop,9,31.09,594.23,572.72,White,Male
CUST0302,suburban,desktop,42,28.17,954.2,1052.84,Asian,Male
CUST0303,suburban,desk,14,54.14,998.76,1026.87,White,Female
CUST0304,suburban,desktop,37,55.87,311.87,306.69,White,Male
CUST0305,suburban,mobile,14,23.63,754.28,823.89,White,Female
CUST0306,rural,desktop,4,30.01,440.23,466.18,White,Female
CUST0307,suburban,desktop,28,53.88,107.3,149.79,White,Female
CUST0308,urban,mobile,18,48.6,108.33,129.21,White,Non-binary
CUST0309,rural,mobile,9,1.22,514.51,515.2,Hispanic,Male
CUST0310,urban,desktop,11,19.88,539.5,597.76,Asian,Female
CUST0311,suburban,mobile,3,25.88,120.31,132.21,White,Male
CUST0312,urban,desktop,30,14.55,718.23,735.01,White,Male
CUST0313,urban,desktop,17,12.77,364.6,360.84,Other,Male
CUST0314,rural,mobile,15,3.23,603.9,618.09,Asian,Male
CUST0315,rural,mobile,39,38.96,370.83,421.34,White,Female
CUST0316,suburban,desktop,35,16.49,250.42,317.87,Asian,Female
CUST0317,suburban,mobile,24,4.09,466.46,531.75,Asian,Male
CUST0318,urban,mobile,22,14.63,309.05,316.43,Asian,Male
CUST0319,urban,mobile,11,48.31,581.32,540.74,White,Female
CUST0320,urban,mobile,33,51.24,278.95,342.76,White,Female
CUST0321,suburban,desktop,35,29.5,557.57,541.51,White,Male
CUST0322,suburban,mobile,36,25.55,241.64,312.21,Hispanic,Female
CUST0323,suburban,desktop,2,58.69,703.88,728.21,Black,Female
CUST0324,urban,mobile,8,12.83,778.54,857.43,White,Female
CUST0325,rural,mobile,17,13.71,199.35,205.26,Hispanic,Male
CUST0326,suburban,desktop,42,18.22,521.02,527.84,Hispanic,Female
CUST0327,suburban,desktop,34,11.19,163.78,201.94,Other,Female
CUST0328,suburban,mobile,33,23.38,638.36,662.63,Hispanic,Female
CUST0329,suburban,mobile,40,54.74,337.96,400.82,Other,Female
CUST0330,urban,mobile,13,37.31,574.86,637.58,White,Non-binary
CUST0331,urban,mobile,3,25.3,565.71,606.77,Hispanic,Male
CUST0332,rural,desktop,28,56.13,931.92,1014.87,Hispanic,Non-binary
CUST0333,urban,mobile,40,3.86,594.17,606.43,White,Female
CUST0334,urban,mobile,44,13.41,624.7,733.82,White,Female
CUST0335,urban,mobile,49,34.39,461.49,516.12,Other,Male
CUST0336,urban,desktop,14,37.32,954.17,957.24,White,Male
CUST0337,rural,desktop,27,3.33,799.47,899.4,Hispanic,Female
CUST0338,suburban,mobile,41,24.78,356.86,354.09,White,Female
CUST0339,suburban,desktop,15,39.3,859.79,837.26,White,Male
CUST0340,urban,mobile,11,42.19,489.16,458.02,White,Female
CUST0341,suburban,mob,4,38.65,845.8,901.8,White,Male
CUST0342,suburban,desktop,33,19.91,840.6,924.02,Asian,Non-binary
CUST0343,urban,desktop,41,6.52,269.98,285.76,Black,Female
CUST0344,suburban,desktop,0,26.2,731.03,681.88,White,Male
CUST0345,urban,mobile,38,8.6,361.58,372.64,White,Female
CUST0346,suburban,mobile,31,56.91,367.74,379.9,White,Non-binary
CUST0347,suburban,desktop,25,29.04,366.71,404.84,White,Male
CUST0348,urban,mobile,16,19.72,753.01,733.58,Asian,Female
CUST0349,urban,mobile,47,46.21,306.84,317.46,White,Male
CUST0350,suburban,mobile,26,30.38,100.82,149.09,White,Female
CUST0351,suburban,desktop,23,19.29,743.71,787.99,White,Male
CUST0352,rural,mobile,34,48.91,254.07,308.93,White,Male
CUST0353,suburban,mobile,45,52.16,194.03,237.74,White,Male
CUST0354,urban,desktop,41,40.71,313.76,,White,Male
CUST0355,urban,mobile,38,3.77,441.91,471.65,Hispanic,Female
CUST0356,suburban,mobile,25,34.41,528.32,516.5,Hispanic,Male
CUST0357,urban,mobile,48,46.03,140.11,184.48,Hispanic,Male
CUST0358,suburban,mobile,37,9.05,973.52,1115.63,White,Female
CUST0359,rural,mobile,22,14.49,744.46,838.11,White,Female
CUST0360,suburban,mobile,21,53.07,390.87,374.49,Black,Female
CUST0361,urban,desktop,3,2.19,386.83,377.85,Asian,Non-binary
CUST0362,suburban,mobile,48,45.41,503.69,601.51,Other,Female
CUST0363,suburban,desktop,8,28.95,663.62,619.77,White,Male
CUST0364,suburban,mobile,3,27.36,231.74,241.88,White,Female
CUST0365,rural,mobile,6,1.42,270.04,302.08,Asian,Non-binary
CUST0366,urban,mobile,22,49.34,873.49,986.67,Hispanic,Male
CUST0367,rural,mobile,1,22.23,330.63,329.59,Hispanic,Male
CUST0368,rural,desktop,48,32.91,442.18,442.04,Asian,Male
CUST0369,urban,mobile,23,40.96,884.14,843.8,Other,Male
CUST0370,urban,mobile,39,42.46,696.83,785.33,Black,Female
CUST0371,urban,desktop,30,57.4,407.54,460.22,Hispanic,Female
CUST0372,urban,desktop,46,32.35,715.33,776.97,Other,Non-binary
CUST0373,urban,desktop,30,24.58,117.71,173.76,Hispanic,Female
CUST0374,suburban,mobile,46,57.27,762.08,871.07,White,Male
CUST0375,urban,desktop,39,38.88,538.31,610.97,White,Male
CUST0376,urban,mobile,47,18.59,831.86,969.91,Black,Non-binary
CUST0377,rural,mobile,42,8.46,959.17,1033.51,White,Male
CUST0378,urban,mobile,33,50.71,933.21,999.87,Hispanic,Male
CUST0379,rural,mobile,23,22.37,918.34,895.3,White,Non-binary
CUST0380,urban,mobile,48,39.97,560.95,641.18,White,Female
CUST0381,urban,mobile,25,28.78,424.13,449.58,Asian,Male
CUST0382,suburban,desktop,15,12.74,518.53,506.96,White,Female
CUST0383,suburban,mobile,46,36.5,720.91,854.75,White,Non-binary
CUST0384,rural,mobile,12,4.58,895.6,939.33,White,Male
CUST0385,suburban,mobile,14,25.39,286.29,325.49,Black,Female
CUST0386,rural,desktop,26,33.25,926.37,889.84,White,Male
CUST0387,urban,mobile,3,26.73,833.66,860.37,Hispanic,Female
CUST0388,urban,mobile,15,45.17,980.97,941.72,White,Non-binary
CUST0389,rural,desktop,29,49.85,892.23,980.7,Hispanic,Non-binary
CUST0390,rural,desktop,43,46.5,351.94,364.11,White,Male
CUST0391,rural,mobile,29,3.29,195.36,253.66,White,Male
CUST0392,suburban,desktop,35,12.45,201.02,248.04,White,Male
CUST0393,urban,desktop,2,32.66,362.1,352.96,White,Female
CUST0394,rural,desktop,21,56.15,652.77,742.9,Black,Male
CUST0395,urban,mobile,48,50.26,823.89,977.44,White,Male
CUST0396,rural,desktop,21,50.71,909.33,889.8,White,Male
CUST0397,rural,mobile,49,18.89,661.38,641.29,Black,Male
CUST0398,suburban,mobile,49,26.34,105.07,196.73,White,Male
CUST0399,rural,mobile,48,28.77,,292.85,White,Female
CUST0400,rural,mobile,11,10.28,189.75,218.48,Asian,Male
CUST0401,urban,mobile,20,2.83,426.99,484.07,Hispanic,Male
CUST0402,rural,desktop,3,56.87,551.22,509.56,White,Female
CUST0403,suburban,mobile,30,15.2,139.06,197.43,White,Female
CUST0404,rural,mobile,43,15.16,413.63,491.68,Other,Male
CUST0405,urban,mobile,30,5.92,261.26,269.15,White,Male
CUST0406,rural,mobile,22,55.78,682.36,689.96,Other,Female
CUST0407,urban,desktop,19,35.2,517.85,515.31,White,Male
CUST0408,urban,mobile,14,40.36,545.79,575.43,Hispanic,Female
CUST0409,rural,mobile,22,54.78,484.92,541.73,White,Male
CUST0410,urban,mobile,27,21.39,960.42,1029.97,Hispanic,Male
CUST0411,urban,mobile,15,37.67,293.26,294.23,White,Female
CUST0412,rural,mobile,36,3.29,565,627.3,Asian,Female
CUST0413,rural,desktop,20,12.02,762.42,812.69,White,Non-binary
